site,season,as_of,horizon,n_seasons,ess,bandwidth,method,categories_available,observed,p_adverse,p_typical,p_favorable,c_adverse,c_typical,c_favorable,rps,rps_clim,brier,brier_clim,hit,hit_clim,crps_precip_mm,crps_clim_precip_mm,crps_gdd,crps_clim_gdd,crps_kdd_29c,crps_clim_kdd_29c,crps_heat_days,crps_clim_heat_days,crps_water_deficit_mm,crps_clim_water_deficit_mm
MOValley,2023,07-15,60,5,3.248688929542197,1.0,historical_analogs,True,2,0.3569148668806603,0.2083958459583637,0.434689287160976,0.4,0.2,0.4,0.22348221212550246,0.26000000000000006,0.490393252863707,0.56,1.0,0.5,20.123820123252717,15.894799999999996,28.70423426425174,19.17684000000006,5.167479834015728,4.883511972477939,6.253725409186123,5.96,19.47610795143392,18.331183400595847
MOValley,2023,07-15,90,5,3.248688929542197,1.0,historical_analogs,True,2,0.3569148668806603,0.2083958459583637,0.434689287160976,0.4,0.2,0.4,0.22348221212550246,0.26000000000000006,0.490393252863707,0.56,1.0,0.5,28.791426004910512,40.24919999999996,47.23551175297352,40.51908000000001,9.181682118273418,7.986398316940913,9.100114060381749,8.64,31.8468612743537,44.86668956168637
MOValley,2023,07-15,season,5,3.248688929542197,1.0,historical_analogs,True,2,0.3569148668806603,0.2083958459583637,0.434689287160976,0.4,0.2,0.4,0.22348221212550246,0.26000000000000006,0.490393252863707,0.56,1.0,0.5,29.292968529596386,40.583599999999976,47.907293692402774,39.33864,9.181682118273418,7.986398316940913,9.100114060381749,8.64,33.10445816556068,45.599265632215975
MOValley,2023,08-01,30,5,2.1323488554670296,1.5625,historical_analogs,True,2,0.3577994963670636,6.862321633763469e-05,0.6421318804165986,0.4,0.2,0.4,0.12804503530734196,0.26000000000000006,0.2560900753238298,0.56,1.0,0.5,16.334408925383883,23.804799999999993,15.849507925293757,9.762479999999957,3.984025735350366,2.2332835562248743,2.8131144773383214,2.36,17.940585474309675,24.38342072861602
MOValley,2023,08-01,60,5,2.1323488554670296,1.5625,historical_analogs,True,2,0.3577994963670636,6.862321633763469e-05,0.6421318804165986,0.4,0.2,0.4,0.12804503530734196,0.26000000000000006,0.2560900753238298,0.56,1.0,0.5,55.49450124433134,31.348799999999997,52.11831239053978,24.07464000000001,7.267025713454004,6.323276324912139,6.437779164354036,6.239999999999999,62.163940823469545,34.55258724013156
MOValley,2023,08-01,90,5,2.1323488554670296,1.5625,historical_analogs,True,2,0.3577994963670636,6.862321633763469e-05,0.6421318804165986,0.4,0.2,0.4,0.12804503530734196,0.26000000000000006,0.2560900753238298,0.56,1.0,0.5,59.52582779865652,44.70919999999998,125.34425057822764,62.09136,8.21938529098983,7.667645773985195,7.437779164354036,7.240000000000001,68.63657322440731,47.92437609244064
MOValley,2023,08-01,season,5,2.1323488554670296,1.5625,historical_analogs,True,2,0.3577994963670636,6.862321633763469e-05,0.6421318804165986,0.4,0.2,0.4,0.12804503530734196,0.26000000000000006,0.2560900753238298,0.56,1.0,0.5,58.19184130445629,46.803599999999996,103.19119737374133,37.668599999999984,8.207065335824385,7.659466026951908,7.437779164354036,7.240000000000001,67.90751005024187,52.060237943060656
MOValley,2023,08-15,30,5,2.4900289497930235,1.953125,historical_analogs,True,0,0.1659322243523763,7.527915998646798e-07,0.8340670228560239,0.4,0.2,0.4,0.6956684264948428,0.25999999999999995,1.3913368529902523,0.56,0.0,0.5,111.57737510266804,71.24759999999999,28.88011756444488,23.610240000000115,11.974135792721036,9.299900957462114,6.679382529172495,5.5600000000000005,123.008309415718,76.64432060868191
MOValley,2023,08-15,60,5,2.4900289497930235,1.953125,historical_analogs,True,0,0.1659322243523763,7.527915998646798e-07,0.8340670228560239,0.4,0.2,0.4,0.6956684264948428,0.25999999999999995,1.3913368529902523,0.56,0.0,0.5,92.89899336539256,47.2544,100.8946443141894,52.43616,15.664190514278022,13.53591911277599,9.007586392092698,8.080000000000002,106.62107057537965,52.402086532022786
MOValley,2023,08-15,90,5,2.4900289497930235,1.953125,historical_analogs,True,0,0.1659322243523763,7.527915998646798e-07,0.8340670228560239,0.4,0.2,0.4,0.6956684264948428,0.25999999999999995,1.3913368529902523,0.56,0.0,0.5,129.4294925579453,58.24360000000001,162.1479202030358,95.00148000000019,15.664190242381803,13.478660883542984,9.007586392092698,8.080000000000002,147.03122830172217,65.20509567437408
MOValley,2023,08-15,season,5,2.4900289497930235,1.953125,historical_analogs,True,0,0.1659322243523763,7.527915998646798e-07,0.8340670228560239,0.4,0.2,0.4,0.6956684264948428,0.25999999999999995,1.3913368529902523,0.56,0.0,0.5,92.50821382644344,47.15240000000001,101.68594293723609,49.67388000000004,15.664190514278022,13.53591911277599,9.007586392092698,8.080000000000002,106.02448081761912,52.25914528713058
